instance_id	category	repo	difficulty	patch_lines	ornith_full	ornith_lite	qwen36	in_lite100
pytest-dev__pytest-7982	easy	pytest-dev/pytest	<15 min fix	2	1		1	0
astropy__astropy-7336	easy	astropy/astropy	<15 min fix	2	1		1	0
pydata__xarray-4094	easy	pydata/xarray	<15 min fix	2	1		1	0
psf__requests-5414	easy	psf/requests	<15 min fix	2	1		1	0
django__django-11490	easy	django/django	<15 min fix	1	1		1	0
sympy__sympy-13480	easy	sympy/sympy	<15 min fix	2	1		1	0
scikit-learn__scikit-learn-12585	easy	scikit-learn/scikit-learn	<15 min fix	2	1		1	0
sphinx-doc__sphinx-8621	easy	sphinx-doc/sphinx	<15 min fix	2	1		1	0
matplotlib__matplotlib-26113	easy	matplotlib/matplotlib	<15 min fix	2	1		1	0
pytest-dev__pytest-6202	easy	pytest-dev/pytest	<15 min fix	3	1		1	0
